tpep_pickup_datetime,Date,Day_of_Week,Total_trips,Total_fare,Total_amount,speed_p50,duration_p50,duration_p95,distance_p50,distance_p95,avg_distance,revenue_per_trip,revenue_per_mile,Early Morning,Morning,Morning Rush,Midday,Evening Rush,Late Night,index_100_by_day_by_trips
2021-02-08 00:00:00-05:00,2021-02-08,Monday,48111,574272.91,637342.9500000001,10.83,10.0,31.0,1.69,9.61,2.7992878671350474,11.936415996341793,4.264207319011021,173.5 / 191.75,503.67 / 427.67,2927.33 / 2788.33,3433.0 / 3402.0,3542.33 / 3637.33,1179.8 / 1274.4,838.9014821272885
2021-02-09 00:00:00-05:00,2021-02-09,Tuesday,49004,576134.1,631949.92,10.52,10.0,30.0,1.67,8.84,2.6894967757734056,11.756879030283242,4.37140476842638,103.5 / 126.75,464.0 / 391.67,2775.67 / 2633.67,3557.83 / 3538.17,3653.33 / 3722.0,1312.8 / 1405.2,854.4725370531821
2021-02-10 00:00:00-05:00,2021-02-10,Wednesday,53842,651211.08,704221.02,10.05,10.0,33.0,1.68,8.75949999999997,2.6765656922105423,12.09485308866684,4.518795531103834,124.25 / 150.25,483.33 / 414.33,3040.33 / 2859.33,3861.0 / 3810.17,4020.33 / 4125.67,1509.4 / 1636.4,938.8317349607671
2021-02-11 00:00:00-05:00,2021-02-11,Thursday,54714,647156.39,702649.2000000001,10.38,10.0,32.0,1.7,8.783499999999984,2.695773659392477,11.82798534196001,4.3876032769849,133.75 / 156.75,497.33 / 422.33,2958.33 / 2795.33,3883.0 / 3833.17,4182.33 / 4283.33,1593.4 / 1717.0,954.0366172624238
2021-02-12 00:00:00-05:00,2021-02-12,Friday,59335,710591.5700000001,769808.2700000001,10.4,10.0,33.0,1.69,9.0,2.7196394923566984,11.975926013314234,4.4031057692957125,158.0 / 197.0,499.33 / 429.33,2575.33 / 2435.67,4069.5 / 3994.33,4488.33 / 4519.67,2319.4 / 2485.4,1034.612031386225
2021-02-13 00:00:00-05:00,2021-02-13,Saturday,45258,515758.29999999993,553222.4500000001,11.87,9.0,27.0,1.7,8.5,5.282077247718585,11.395958725529187,2.1573628553144535,346.5 / 375.5,263.0 / 236.33,1169.33 / 1099.0,3348.17 / 3265.83,3379.67 / 3440.33,1869.4 / 1966.8,789.1543156059286
2021-02-14 00:00:00-05:00,2021-02-14,Sunday,37172,442073.83,475734.74,12.65,9.0,28.0,1.77,10.3,2.9802676961984447,11.892656569460884,3.9902692503527235,339.75 / 373.0,151.33 / 138.67,751.0 / 701.0,2640.67 / 2567.67,3056.67 / 3083.33,1618.4 / 1701.0,648.1604184829991
2021-02-15 00:00:00-05:00,2021-02-15,Monday,37813,449768.86,488824.33,12.64,9.0,28.0,1.71,10.97,2.997688625604951,11.894556369502551,3.967909231100398,232.5 / 253.5,257.0 / 223.33,1510.0 / 1424.33,2923.83 / 2880.0,2872.0 / 2925.33,1084.6 / 1160.0,659.337401918047
2021-02-16 00:00:00-05:00,2021-02-16,Tuesday,47849,581816.88,645077.21,11.13,10.0,31.0,1.73,9.87,2.8827439750851744,12.159436560847666,4.218399140045773,131.25 / 157.5,520.33 / 444.33,2529.67 / 2397.67,3396.0 / 3376.83,3539.33 / 3593.33,1436.0 / 1530.4,834.3330427201395
2021-02-17 00:00:00-05:00,2021-02-17,Wednesday,56191,668027.47,732904.9,10.29,10.0,32.0,1.68,8.83,2.6951381943084947,11.888513640974534,4.410862834937774,140.0 / 165.5,503.0 / 430.33,2920.0 / 2748.67,4025.17 / 3974.5,4179.0 / 4236.67,1734.8 / 1887.0,979.790758500436
